	Over	Runs	Wickets
227	18.0	10.0	0.0
228	19.0	4.0	0.0
229	1.0	1.0	0.0
230	2.0	8.0	1.0
231	3.0	6.0	0.0
232	4.0	1.0	0.0
233	5.0	7.0	0.0
234	6.0	2.0	1.0
235	7.0	9.0	0.0
236	8.0	2.0	1.0
237	9.0	7.0	0.0
238	10.0	2.0	1.0
239	11.0	9.0	0.0
240	12.0	6.0	0.0
241	13.0	2.0	1.0
242	14.0	6.0	0.0
243	15.0	5.0	0.0
244	16.0	9.0	0.0
245	17.0	8.0	1.0
246	18.0	26.0	0.0
247	19.0	12.0	1.0
248	20.0	14.0	1.0
249	1.0	4.0	0.0
250	2.0	14.0	0.0
251	3.0	12.0	0.0
252	4.0	2.0	1.0
253	5.0	5.0	0.0
254	6.0	11.0	0.0
255	7.0	7.0	0.0
256	8.0	5.0	0.0
257	9.0	23.0	0.0
258	10.0	12.0	0.0
259	11.0	5.0	0.0
260	12.0	12.0	0.0
261	13.0	30.0	0.0
262	14.0	1.0	0.0
263	1.0	7.0	0.0
264	2.0	9.0	0.0
265	3.0	18.0	0.0
266	4.0	1.0	1.0
267	5.0	5.0	1.0
268	6.0	13.0	0.0
269	7.0	6.0	0.0
270	8.0	5.0	0.0
271	9.0	8.0	0.0
272	10.0	10.0	0.0
273	11.0	14.0	0.0
274	12.0	16.0	0.0
275	13.0	11.0	0.0
276	14.0	14.0	0.0
277	15.0	6.0	1.0
278	16.0	15.0	0.0
279	17.0	10.0	0.0
280	18.0	14.0	0.0
281	19.0	12.0	1.0
282	20.0	14.0	1.0
283	1.0	9.0	1.0
284	2.0	4.0	0.0
285	3.0	12.0	0.0
286	4.0	6.0	1.0
287	5.0	19.0	0.0
288	6.0	2.0	0.0
289	7.0	5.0	0.0
290	8.0	11.0	0.0
291	9.0	7.0	0.0
292	10.0	8.0	1.0
293	11.0	7.0	0.0
294	12.0	9.0	1.0
295	13.0	11.0	0.0
296	14.0	20.0	0.0
297	15.0	4.0	1.0
298	16.0	13.0	1.0
299	17.0	21.0	0.0
300	18.0	13.0	0.0
301	19.0	9.0	1.0
302	20.0	12.0	0.0
303	1.0	12.0	0.0
304	2.0	10.0	0.0
305	3.0	10.0	2.0
306	4.0	1.0	0.0
307	5.0	15.0	0.0
308	6.0	10.0	0.0
309	7.0	3.0	0.0
310	8.0	11.0	0.0
311	9.0	6.0	1.0
312	10.0	7.0	0.0
313	11.0	14.0	0.0
314	12.0	9.0	0.0
315	13.0	10.0	0.0
316	14.0	11.0	0.0
317	15.0	19.0	0.0
318	16.0	12.0	0.0
319	17.0	11.0	0.0
320	18.0	15.0	1.0
321	19.0	17.0	0.0
322	20.0	11.0	1.0
323	1.0	5.0	0.0
324	2.0	9.0	0.0
325	3.0	5.0	1.0
326	4.0	16.0	0.0
327	5.0	22.0	0.0
328	6.0	16.0	0.0
329	7.0	9.0	0.0
330	8.0	16.0	0.0
331	9.0	12.0	0.0
332	10.0	4.0	1.0
333	11.0	7.0	0.0
334	12.0	5.0	1.0
335	13.0	8.0	0.0
336	14.0	5.0	0.0
337	15.0	20.0	0.0
338	16.0	17.0	0.0
339	17.0	10.0	0.0
340	18.0	6.0	2.0
341	19.0	6.0	2.0
342	20.0	19.0	0.0
343	1.0	2.0	0.0
344	2.0	6.0	1.0
345	3.0	7.0	0.0
346	4.0	10.0	0.0
347	5.0	18.0	0.0
348	6.0	17.0	0.0
349	7.0	10.0	0.0
350	8.0	11.0	0.0
351	9.0	5.0	1.0
352	10.0	8.0	0.0
353	11.0	13.0	1.0
354	12.0	3.0	0.0
355	13.0	6.0	0.0
356	14.0	6.0	1.0
357	15.0	16.0	0.0
358	16.0	8.0	0.0
359	17.0	6.0	1.0
360	18.0	5.0	1.0
361	19.0	12.0	2.0
362	20.0	13.0	2.0
363	1.0	2.0	0.0
364	2.0	12.0	0.0
365	3.0	4.0	2.0
366	4.0	3.0	0.0
367	5.0	13.0	0.0
368	6.0	5.0	0.0
369	7.0	7.0	0.0
370	8.0	15.0	0.0
371	9.0	4.0	1.0
372	10.0	2.0	1.0
373	11.0	1.0	0.0
374	12.0	22.0	0.0
375	13.0	4.0	1.0
376	14.0	4.0	2.0
377	15.0	3.0	0.0
378	16.0	4.0	1.0
379	17.0	1.0	0.0
380	18.0	7.0	1.0
381	19.0	3.0	0.0
382	20.0	0.0	0.0
383	1.0	1.0	1.0
384	2.0	15.0	0.0
385	3.0	1.0	1.0
386	4.0	12.0	0.0
387	5.0	13.0	0.0
388	6.0	15.0	0.0
389	7.0	7.0	1.0
390	8.0	4.0	1.0
391	9.0	8.0	0.0
392	10.0	1.0	1.0
393	11.0	1.0	0.0
394	12.0	0.0	1.0
395	13.0	10.0	0.0
396	14.0	2.0	1.0
397	15.0	5.0	0.0
398	16.0	13.0	0.0
399	17.0	4.0	0.0
400	18.0	9.0	0.0
401	19.0	9.0	0.0
402	20.0	5.0	1.0
403	1.0	9.0	1.0
404	2.0	9.0	0.0
405	3.0	7.0	0.0
406	4.0	6.0	1.0
407	5.0	8.0	0.0
408	6.0	6.0	0.0
409	7.0	7.0	0.0
410	8.0	9.0	0.0
411	9.0	7.0	0.0
412	10.0	5.0	0.0
413	11.0	6.0	0.0
414	12.0	4.0	0.0
415	13.0	8.0	0.0
416	14.0	26.0	0.0
417	15.0	4.0	0.0
418	16.0	9.0	1.0
419	17.0	4.0	0.0
420	18.0	4.0	0.0
421	1.0	8.0	0.0
422	2.0	16.0	0.0
423	3.0	8.0	2.0
424	4.0	6.0	0.0
425	5.0	12.0	0.0
426	6.0	11.0	1.0
427	7.0	2.0	0.0
428	8.0	2.0	1.0
429	9.0	4.0	0.0
430	10.0	3.0	1.0
431	11.0	3.0	0.0
432	12.0	4.0	0.0
433	13.0	8.0	0.0
434	14.0	5.0	0.0
435	15.0	12.0	1.0
436	16.0	4.0	0.0
437	17.0	11.0	0.0
438	18.0	7.0	1.0
439	19.0	8.0	1.0
440	20.0	13.0	1.0
441	1.0	5.0	0.0
442	2.0	3.0	0.0
443	3.0	10.0	0.0
444	4.0	7.0	0.0
445	5.0	10.0	0.0
446	6.0	10.0	0.0
447	7.0	10.0	0.0
448	8.0	11.0	0.0
449	9.0	6.0	1.0
450	10.0	5.0	0.0
451	11.0	4.0	0.0
452	12.0	9.0	0.0
453	13.0	5.0	0.0
454	14.0	12.0	0.0
455	15.0	14.0	0.0
456	16.0	18.0	0.0
457	17.0	13.0	0.0
458	1.0	6.0	0.0
459	2.0	8.0	0.0
460	3.0	1.0	1.0
461	4.0	3.0	1.0
462	5.0	4.0	0.0
463	6.0	5.0	1.0
464	7.0	8.0	0.0
465	8.0	7.0	0.0
466	9.0	5.0	0.0
467	10.0	7.0	0.0
468	11.0	2.0	1.0
469	12.0	5.0	0.0
470	13.0	8.0	0.0
471	14.0	15.0	1.0
472	15.0	15.0	0.0
473	16.0	15.0	0.0
474	17.0	10.0	1.0
475	18.0	11.0	0.0
476	19.0	12.0	0.0
477	20.0	7.0	1.0
478	1.0	10.0	0.0
479	2.0	10.0	0.0
480	3.0	9.0	0.0
481	4.0	8.0	0.0
482	5.0	10.0	0.0
483	6.0	13.0	0.0
